method,crop,region,year,driver_group,dominant_feature,observed_yield_t_ha,trend_yield_t_ha,yield_gap_t_ha,recovered_gap_t_ha,recoverable_fraction,claim_sentence
00_baseline_v1_raw_yield_scaa,Barley,Colorado,1990,frost_cold,min_tmin,4.3041,4.9403294294294255,0.6362294294294255,0.3698365714285714,0.5812943481099941,"In Colorado Barley 1990, frost/cold stress was the dominant modelled driver; moving min_tmin toward feasible normal levels recovered 0.370 t/ha (58.1%) of the 0.636 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Oats,Colorado,1990,drought,dry_days_1mm,1.7934,2.0998372413793227,0.3064372413793226,0.0852220952380955,0.2781061951037587,"In Colorado Oats 1990, drought/dry-spell stress was the dominant modelled driver; moving dry_days_1mm toward feasible normal levels recovered 0.085 t/ha (27.8%) of the 0.306 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Oats,Montana,1990,heat,max_consecutive_heat_days_35,1.4347,1.94631921921922,0.5116192192192199,0.22496704761905015,0.4397157869916839,"In Montana Oats 1990, heat exposure was the dominant modelled driver; moving max_consecutive_heat_days_35 toward feasible normal levels recovered 0.225 t/ha (44.0%) of the 0.512 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Barley,Colorado,1991,drought,dry_days_1mm,4.3041,5.016868065208058,0.7127680652080581,0.3847212380952394,0.5397565587943935,"In Colorado Barley 1991, drought/dry-spell stress was the dominant modelled driver; moving dry_days_1mm toward feasible normal levels recovered 0.385 t/ha (54.0%) of the 0.713 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Barley,Texas,1991,drought,dry_spell_events_7d,1.7216,2.0867878787878986,0.3651878787878986,0.26164914285714125,0.7164781693346051,"In Texas Barley 1991, drought/dry-spell stress was the dominant modelled driver; moving dry_spell_events_7d toward feasible normal levels recovered 0.262 t/ha (71.6%) of the 0.365 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Oats,Iowa,1991,drought,dry_spell_events_14d,1.7934,2.1940560145860037,0.40065601458600364,0.12838895238095338,0.32044683645549965,"In Iowa Oats 1991, drought/dry-spell stress was the dominant modelled driver; moving dry_spell_events_14d toward feasible normal levels recovered 0.128 t/ha (32.0%) of the 0.401 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Oats,Minnesota,1991,drought,dry_spell_events_14d,1.4347,1.9859069412269363,0.5512069412269363,0.26022647619047906,0.472103046473324,"In Minnesota Oats 1991, drought/dry-spell stress was the dominant modelled driver; moving dry_spell_events_14d toward feasible normal levels recovered 0.260 t/ha (47.2%) of the 0.551 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Wheat,Illinois,1991,drought,dry_spell_events_14d,2.152,3.0019648348348085,0.8499648348348083,0.36786733333333416,0.4328030034381712,"In Illinois Wheat 1991, drought/dry-spell stress was the dominant modelled driver; moving dry_spell_events_14d toward feasible normal levels recovered 0.368 t/ha (43.3%) of the 0.850 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Wheat,Washington,1991,drought,dry_spell_events_14d,3.0868,3.8926784641784575,0.8058784641784573,0.5015407619047645,0.6223528536850205,"In Washington Wheat 1991, drought/dry-spell stress was the dominant modelled driver; moving dry_spell_events_14d toward feasible normal levels recovered 0.502 t/ha (62.2%) of the 0.806 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Barley,Colorado,1992,heat,season_tmean_mean,4.3579,5.093406700986691,0.7355067009866909,0.35948647619047325,0.4887603004951796,"In Colorado Barley 1992, heat exposure was the dominant modelled driver; moving season_tmean_mean toward feasible normal levels recovered 0.359 t/ha (48.9%) of the 0.736 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Barley,Washington,1992,heat,heat_days_30,2.421,3.2568276319176324,0.8358276319176325,0.5034458095238126,0.6023320961150338,"In Washington Barley 1992, heat exposure was the dominant modelled driver; moving heat_days_30 toward feasible normal levels recovered 0.503 t/ha (60.2%) of the 0.836 t/ha detrended yield shortfall."
